WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
313,BHS,NGDPD,The Bahamas,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.035,2.109,2.374,2.643,2.822,3.074,3.323,3.658,3.804,4.288,4.088,4.018,4.015,3.993,4.208,4.429,4.661,4.961,5.354,6.02,6.328,6.517,6.958,6.949,7.094,7.706,7.966,8.319,8.247,7.82,7.91,7.89,8.399,8.522,8.618,8.854,9.047,9.345,9.729,10.095,10.54,10.982,2015
419,BHR,NGDPD,Bahrain,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.593,4.056,4.264,4.368,4.534,4.278,3.347,3.626,4.481,4.675,4.964,5.207,5.441,5.985,6.41,6.785,7.055,7.316,6.994,7.581,9.061,9.187,9.591,11.072,13.147,15.965,18.501,21.725,25.705,22.933,25.708,28.77,30.743,32.532,33.381,31.119,31.823,33.918,35.703,37.292,39.025,40.806,2015
513,BGD,NGDPD,Bangladesh,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.632,22.057,20.197,21.165,24.064,24.756,25.954,28.633,30.904,34.046,35.383,36.468,36.476,38.234,41.538,45.921,48.168,50.34,51.928,53.984,54.586,54.755,57.5,63.204,68.593,70.921,75.77,85.604,97.062,108.896,122.039,131.079,141.705,161.297,183.966,206.531,226.76,246.166,268.611,293.252,319.237,346.777,2013
316,BRB,NGDPD,Barbados,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.018,1.12,1.171,1.243,1.355,1.418,1.557,1.714,1.823,2.018,2.024,2.032,1.957,2.075,2.163,2.275,2.425,2.564,2.891,3.029,3.122,3.117,3.17,3.275,3.514,3.897,4.303,4.546,4.595,4.601,4.447,4.359,4.332,4.371,4.353,4.385,4.473,4.64,4.853,5.083,5.327,5.592,2015
913,BLR,NGDPD,Belarus,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.115,3.662,4.854,3.381,14.433,14.008,15.141,12.1,12.826,12.419,14.653,17.819,23.142,30.21,36.954,45.276,60.752,49.209,55.221,59.735,63.608,73.098,76.104,54.609,48.126,49.52,51.533,53.582,56.01,58.544,2015
124,BEL,NGDPD,Belgium,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",124.137,102.813,90.462,85.5,81.69,84.95,117.799,146.215,158.968,160.706,201.235,206.535,230.03,219.932,239.931,289.904,281.467,255.17,260.971,260.544,238.603,238.046,259.777,319.613,371.388,388.029,410.173,472.475,521.084,485.781,484.45,527.491,498.092,521.534,532.079,454.288,470.179,488.694,505.629,523.766,543.065,557.782,2015
339,BLZ,NGDPD,Belize,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.172,0.179,0.179,0.189,0.211,0.209,0.228,0.267,0.315,0.363,0.412,0.445,0.518,0.56,0.581,0.62,0.641,0.654,0.689,0.732,0.832,0.872,0.933,0.99,1.058,1.114,1.217,1.291,1.37,1.339,1.398,1.489,1.574,1.626,1.718,1.753,1.77,1.855,1.939,2.014,2.09,2.168,2015
638,BEN,NGDPD,Benin,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.685,1.14,1.128,0.999,1.065,1.111,1.419,1.66,1.728,1.596,1.96,1.987,2.246,2.274,1.598,2.169,2.361,2.268,2.455,2.69,2.577,2.682,3.065,3.913,4.527,4.812,5.147,5.977,7.166,7.116,6.983,7.821,8.122,9.114,9.59,8.475,8.93,9.605,10.347,11.195,12.065,13.021,2012
514,BTN,NGDPD,Bhutan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.127,0.137,0.144,0.156,0.161,0.167,0.189,0.229,0.262,0.261,0.281,0.244,0.238,0.249,0.253,0.296,0.311,0.348,0.382,0.401,0.436,0.455,0.504,0.575,0.67,0.762,0.858,1.02,1.291,1.214,1.433,1.737,1.814,1.849,1.83,2.017,2.085,2.251,2.55,2.965,3.293,3.541,2014
218,BOL,NGDPD,Bolivia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.343,5.643,5.734,5.97,6.702,7.375,7.917,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.238,35.699,39.795,43.373,47.209,51.193,55.64,2015
